//pickedCard,CardNumber,ChipsOnCard,NumCardsLeft,Player0NumChips,Player0NumCards,Player0Score,Player1NumChips,Player1NumCards,Player1Score,Player2NumChips,Player2NumCards,Player2Score

1,4,0,24,11,1,4,11,0,0,11,0,0
0,20,0,23,11,1,4,11,0,0,11,0,0
1,20,0,23,11,1,4,10,0,0,12,1,20
0,23,0,22,11,1,4,10,0,0,12,1,20
0,23,1,22,10,1,4,10,0,0,12,1,20
1,23,0,22,10,1,4,9,0,0,14,2,43
0,19,0,21,10,1,4,9,0,0,14,2,43
1,19,0,21,9,1,4,10,1,19,14,2,43
0,17,0,20,9,1,4,10,1,19,14,2,43
1,17,0,20,10,2,21,10,1,19,13,2,43
1,3,0,19,10,2,21,10,2,22,13,2,43
1,13,0,18,10,2,21,10,2,22,13,3,56
0,29,0,17,10,2,21,10,2,22,13,3,56
0,29,1,17,9,2,21,10,2,22,13,3,56
1,29,0,17,9,2,21,9,2,22,15,4,85
1,12,0,16,9,3,33,9,2,22,15,4,85
0,34,0,15,9,3,33,9,2,22,15,4,85
0,34,1,15,9,3,33,8,2,22,15,4,85
1,34,0,15,11,4,67,8,2,22,14,4,85
1,18,0,14,11,4,67,8,3,21,14,4,85
1,8,0,13,11,4,67,8,3,21,14,5,93
0,11,0,12,11,4,67,8,3,21,14,5,93
0,11,1,12,10,4,67,8,3,21,14,5,93
1,11,0,12,10,4,67,7,3,21,16,6,104
1,14,0,11,10,5,81,7,3,21,16,6,104
1,10,0,10,10,5,81,7,4,31,16,6,104
1,21,0,9,10,5,81,7,4,31,16,7,104
0,35,0,8,10,5,81,7,4,31,16,7,104
1,35,0,8,9,5,81,8,5,66,16,7,104
0,32,0,7,9,5,81,8,5,66,16,7,104
1,32,0,7,10,6,113,8,5,66,15,7,104
0,5,0,6,10,6,113,8,5,66,15,7,104
1,5,0,6,10,6,113,7,5,66,16,8,109
1,33,0,5,10,7,79,7,5,66,16,8,109
1,30,0,4,10,7,79,7,6,96,16,8,109
0,7,0,3,10,7,79,7,6,96,16,8,109
1,7,0,3,11,8,86,7,6,96,15,8,109
0,26,0,2,11,8,86,7,6,96,15,8,109
0,26,1,2,11,8,86,6,6,96,15,8,109
1,26,0,2,13,9,112,6,6,96,14,8,109
ENDOFGAME
1,32,0,24,11,1,32,11,0,0,11,0,0
0,3,0,23,11,1,32,11,0,0,11,0,0
0,3,1,23,11,1,32,10,0,0,11,0,0
1,3,0,23,13,2,35,10,0,0,10,0,0
0,19,0,22,13,2,35,10,0,0,10,0,0
1,19,0,22,13,2,35,9,0,0,11,1,19
0,25,0,21,13,2,35,9,0,0,11,1,19
1,25,0,21,12,2,35,10,1,25,11,1,19
1,34,0,20,12,2,35,10,1,25,11,2,53
0,21,0,19,12,2,35,10,1,25,11,2,53
1,21,0,19,11,2,35,11,2,46,11,2,53
1,13,0,18,11,2,35,11,2,46,11,3,66
1,26,0,17,11,3,61,11,2,46,11,3,66
0,9,0,16,11,3,61,11,2,46,11,3,66
0,9,1,16,11,3,61,10,2,46,11,3,66
1,9,0,16,13,4,70,10,2,46,10,3,66
0,33,0,15,13,4,70,10,2,46,10,3,66
0,33,1,15,13,4,70,9,2,46,10,3,66
0,33,2,15,13,4,70,9,2,46,9,3,66
1,33,0,15,12,4,70,12,3,79,9,3,66
0,30,0,14,12,4,70,12,3,79,9,3,66
0,30,1,14,12,4,70,12,3,79,8,3,66
1,30,0,14,11,4,70,14,4,109,8,3,66
0,8,0,13,11,4,70,14,4,109,8,3,66
1,8,0,13,12,5,69,14,4,109,7,3,66
1,15,0,12,12,5,69,14,5,124,7,3,66
1,35,0,11,12,5,69,14,5,124,7,4,66
0,24,0,10,12,5,69,14,5,124,7,4,66
1,24,0,10,11,5,69,15,6,123,7,4,66
1,14,0,9,11,5,69,15,6,123,7,5,66
1,4,0,8,11,6,69,15,6,123,7,5,66
0,27,0,7,11,6,69,15,6,123,7,5,66
1,27,0,7,11,6,69,14,6,123,8,6,93
1,11,0,6,11,7,80,14,6,123,8,6,93
0,12,0,5,11,7,80,14,6,123,8,6,93
0,12,1,5,11,7,80,13,6,123,8,6,93
1,12,0,5,13,8,80,13,6,123,7,6,93
1,5,0,4,13,8,80,13,7,128,7,6,93
1,28,0,3,13,8,80,13,7,128,7,7,93
